idx,Variable,Unit,r21m42,r21m42_unit,factor,Comment,Category,Definition,available,source,quality,useful
24,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
25,Carbon Sequestration|CCS|Fossil|Energy,Mt CO2/yr,,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
26,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
27,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
28,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
29,Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
30,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
31,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
32,Carbon Sequestration|CCS|Fossil|Energy|Supply|Other,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
33,Carbon Sequestration|CCS|Fossil|Industrial Processes,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from industrial processes from fossil fuels (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
34,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|IndustryCCS,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
35,Carbon Sequestration|Direct Air Capture,Mt CO2/yr,Emi|CO2|CDR|DACCS,Mt CO2/yr,,,CCS,total carbon dioxide sequestered through direct air capture,yes,endogenous,high,no
36,Carbon Sequestration|Enhanced Weathering,Mt CO2/yr,Emi|CO2|CDR|EW,Mt CO2/yr,,,CCS,total carbon dioxide sequestered through enhanced weathering,yes,endogenous,high,no
37,Carbon Sequestration|Feedstocks,Mt CO2/yr,,,,,CCS,"total carbon dioxide sequestered in feedstocks (e.g., lubricants, asphalt, plastics)",,,,no
38,Carbon Sequestration|Feedstocks|Biomass,Mt CO2/yr,,,,,CCS,"total carbon dioxide sequestered in feedstocks from biomass (e.g., lubricants, asphalt, plastics)",,,,no
39,Carbon Sequestration|Feedstocks|Fossil,Mt CO2/yr,,,,,CCS,"total carbon dioxide sequestered in feedstocks from fossil (e.g., lubricants, asphalt, plastics)",,,,no
40,Carbon Sequestration|Land Use,Mt CO2/yr,Emi|CO2|CDR|Land-Use Change,Mt CO2/yr,,,CCS,"total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar)",yes,endogenous,high,no
41,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,,,,,CCS,total carbon dioxide sequestered through afforestation,,,,no
42,Carbon Sequestration|Land Use|Biochar,Mt CO2/yr,,,,,CCS,total carbon dioxide sequestered through biochar,,,,no
43,Carbon Sequestration|Land Use|Other,Mt CO2/yr,,,,,CCS,total carbon dioxide sequestered through other land-based mitigation techniques,,,,no
44,Carbon Sequestration|Land Use|Soil Carbon Management,Mt CO2/yr,,,,,CCS,total carbon dioxide sequestered through soil carbon management techniques,,,,no
45,Carbon Sequestration|Other,Mt CO2/yr,,Mt CO2/yr,,,CCS,total carbon dioxide sequestered through other techniques (please provide a definition of other sources in this category in the 'comments' tab),yes,endogenous,high,
46,Carbon Utilization|CCS|Biomass|Industry,Mt CO2/yr,,,,,CCS,"total of CO2 captured and utilized within industry, from biomass-based sources (e.g. biogas)",,,,no
47,Carbon Utilization|CCS|Fossil|Industry,Mt CO2/yr,,,,,CCS,"total of CO2 captured and utilized within industry, from fossil-based sources (e.g. natural gas, coal-gas)",,,,no
48,Carbon Utilization|CCS|Industry,Mt CO2/yr,Carbon Sequestration|CCU,Mt CO2/yr,,,CCS,"total of CO2 captured and utilized within industry, from both fossil and biomass based sources",yes,endogenous,medium,no
79,Capital Cost|Liquids|Oil,US$2010/kW OR local currency/kW,Tech|Liquids|Oil|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new oil refining plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
78,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW OR local currency/kW,,,,,Capital costs,"capital cost of a new gas to liquids plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",,,,no
77,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW OR local currency/kW,,,,,Capital costs,"capital cost of a new gas to liquids plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",,,,no
76,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW OR local currency/kW,Tech|Liquids|Coal|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal to liquids plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
75,Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW OR local currency/kW,Tech|Liquids|Coal|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal to liquids plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
74,Capital Cost|Liquids|Biomass|w/o CCS,US$2010/kW OR local currency/kW,Tech|Liquids|Biomass|Biofuel|Biodiesel|w/o CCS|Capital Costs,US$2005/kW,1.10774,Biodiesel will be replaced by Fisher-Tropsch Type fuels.,Capital costs,"capital cost of a new biomass to liquids plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
73,Capital Cost|Liquids|Biomass|w/ CCS,US$2010/kW OR local currency/kW,Tech|Liquids|Biomass|Biofuel|BioFTRC|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new biomass to liquids plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
72,Capital Cost|Hydrogen|Gas|w/o CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Gas|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new gas to hydrogen plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
71,Capital Cost|Hydrogen|Gas|w/ CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Gas|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new gas to hydrogen plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
70,Capital Cost|Hydrogen|Electricity,US$2010/kW OR local currency/kW,Tech|Hydrogen|Electricity|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new hydrogen-by-electrolysis plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
69,Capital Cost|Hydrogen|Coal|w/o CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Coal|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal to hydrogen plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
68,Capital Cost|Hydrogen|Coal|w/ CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Coal|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal to hydrogen plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
67,Capital Cost|Hydrogen|Biomass|w/o CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Biomass|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new biomass to hydrogen plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
66,Capital Cost|Hydrogen|Biomass|w/ CCS,US$2010/kW OR local currency/kW,Tech|Hydrogen|Biomass|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new biomass to hydrogen plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
65,Capital Cost|Gases|Coal|w/o CCS,US$2010/kW OR local currency/kW,Tech|Gases|Coal|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal to gas plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
64,Capital Cost|Gases|Coal|w/ CCS,US$2010/kW OR local currency/kW,,,,,Capital costs,"capital cost of a new coal to gas plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",,,,no
63,Capital Cost|Gases|Biomass|w/o CCS,US$2010/kW OR local currency/kW,Tech|Gases|Biomass|w/o CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new biomass to gas plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
62,Capital Cost|Gases|Biomass|w/ CCS,US$2010/kW OR local currency/kW,,,,,Capital costs,"capital cost of a new biomass to gas plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",,,,no
61,Capital Cost|Electricity|Wind|Onshore,US$2010/kW OR local currency/kW,,,,,Capital costs,"capital cost of a new onshore wind power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",,,,no
60,Capital Cost|Electricity|Wind|Offshore,US$2010/kW OR local currency/kW,Tech|Electricity|Wind|Capital Costs,US$2005/kW,1.10774,On- and off-shore are not distinguished,Capital costs,"capital cost of a new offshore wind power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,endogenous,medium,no
59,Capital Cost|Electricity|Solar|PV,US$2010/kW OR local currency/kW,Tech|Electricity|Solar|PV|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new solar PV units. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,endogenous,medium,no
58,Capital Cost|Electricity|Solar|CSP,US$2010/kW OR local currency/kW,Tech|Electricity|Solar|CSP|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new concentrated solar power plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,endogenous,medium,no
57,Capital Cost|Electricity|Nuclear,US$2010/kW OR local currency/kW,Tech|Electricity|Nuclear|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new nuclear power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
56,Capital Cost|Electricity|Hydro,US$2010/kW OR local currency/kW,Tech|Electricity|Hydro|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new hydropower plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
55,Capital Cost|Electricity|Geothermal,US$2010/kW OR local currency/kW,Tech|Electricity|Geothermal|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new geothermal power plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
54,Capital Cost|Electricity|Gas|w/o CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Gas|CC|w/o CCS|Capital Costs,US$2005/kW,1.10774,"Other techs: combined heat and power, gas turbines ",Capital costs,"capital cost of a new gas power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
53,Capital Cost|Electricity|Gas|w/ CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Gas|CCC|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new gas power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
52,Capital Cost|Electricity|Coal|w/o CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Coal|CHP|w/o CCS|Capital Costs,US$2005/kW,1.10774,Other tech: internal gasification combined cycle power plants,Capital costs,"capital cost of a new coal power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
51,Capital Cost|Electricity|Coal|w/ CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Coal|IGCCC|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new coal power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
50,Capital Cost|Electricity|Biomass|w/o CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Biomass|CHP|w/o CCS|Capital Costs,US$2005/kW,1.10774,Other tech: internal gasification combined cycle power plants,Capital costs,"capital cost of a new biomass power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
49,Capital Cost|Electricity|Biomass|w/ CCS,US$2010/kW OR local currency/kW,Tech|Electricity|Biomass|IGCCC|w/ CCS|Capital Costs,US$2005/kW,1.10774,,Capital costs,"capital cost of a new biomass power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",yes,exogenous,medium,no
80,Concentration|CH4,ppb,Concentration|CH4,ppb,,,Climate,atmospheric concentration of methane,yes,endogenous,medium,no
81,Concentration|CO2,ppm,Concentration|CO2,ppm,,,Climate,atmospheric concentration of carbon dioxide,yes,endogenous,high,no
82,Concentration|N2O,ppb,Concentration|N2O,ppb,,,Climate,atmospheric concentration of nitrous oxide,yes,endogenous,medium,no
83,Effective Forcing,W/m2,,,,,Climate,"effective radiative forcing from all greenhouse gases and forcing agents,including contributions from albedo change, nitrate, and mineral dust",,,,no
84,Effective Forcing|Aerosol,W/m2,,,,,Climate,total effective radiative forcing from aerosols via both aerosol-cloud and aerosol-radiative effects,,,,no
85,Effective Forcing|Aerosol|BC,W/m2,,,,,Climate,effective radiative forcing from black carbon via aerosol-radiative effects,,,,no
86,Effective Forcing|Aerosol|Black and Organic Carbon,W/m2,,,,,Climate,effective radiative forcing from black and organic carbon via aerosol-radiative effects,,,,no
87,Effective Forcing|Aerosol|Cloud Indirect,W/m2,,,,,Climate,effective radiative forcing from indirect effects of all anthropogenic aerosols on clouds (i.e. aerosol-cloud effects),,,,no
88,Effective Forcing|Aerosol|OC,W/m2,,,,,Climate,effective radiative forcing from organic carbon via aerosol-radiative effects,,,,no
89,Effective Forcing|Aerosol|Other,W/m2,,,,,Climate,total effective radiative forcing from aerosols not covered in the other categories (including aerosols from biomass burning) via aerosol-radiative effects,,,,no
90,Effective Forcing|Aerosol|Sulfate Direct,W/m2,,,,,Climate,effective radiative forcing from direct sulfate effects (i.e. aerosol-radiative effects),,,,no
91,Effective Forcing|Albedo Change and Mineral Dust,W/m2,,,,,Climate,total effective radiative forcing from albedo change and mineral dust,,,,no
92,Effective Forcing|CH4,W/m2,,,,,Climate,total effective radiative forcing from CH4,,,,no
93,Effective Forcing|CO2,W/m2,,,,,Climate,total effective radiative forcing from CO2,,,,no
94,Effective Forcing|F-Gases,W/m2,,,,,Climate,total effective radiative forcing from F-gases,,,,no
95,Effective Forcing|Kyoto Gases,W/m2,,,,,Climate,"effective radiative forcing of the six Kyoto gases (CO2, CH4, N2O, SF6, HFCs, PFCs)",,,,no
96,Effective Forcing|Montreal Gases,W/m2,,,,,Climate,total effective radiative forcing from Montreal gases,,,,no
97,Effective Forcing|N2O,W/m2,,,,,Climate,total effective radiative forcing from N2O,,,,no
98,Effective Forcing|Other,W/m2,,,,,Climate,total effective radiative forcing from factors not covered in other categories (including stratospheric ozone and stratospheric water vapor),,,,no
99,Effective Forcing|Tropospheric Ozone,W/m2,,,,,Climate,total effective radiative forcing from tropospheric ozone,,,,no
100,Forcing,W/m2,Forcing,W/m2,,,Climate,"radiative forcing from all greenhouse gases and forcing agents,including contributions from albedo change, nitrate, and mineral dust",yes,exogenous,medium,no
101,Forcing|Aerosol,W/m2,Forcing|Aerosol,W/m2,,,Climate,total radiative forcing from aerosols via both aerosol-cloud and aerosol-radiative effects,yes,exogenous,medium,no
102,Forcing|Aerosol|BC,W/m2,Forcing|Aerosol|BC,W/m2,,,Climate,radiative forcing from black carbon via aerosol-radiative effects,yes,exogenous,medium,no
103,Forcing|Aerosol|Black and Organic Carbon,W/m2,,W/m2,,,Climate,radiative forcing from black and organic carbon via aerosol-radiative effects,,,,no
104,Forcing|Aerosol|Cloud Indirect,W/m2,Forcing|Aerosol|Cloud Indirect,W/m2,,,Climate,radiative forcing from indirect effects of all anthropogenic aerosols on clouds (i.e. aerosol-cloud effects),yes,exogenous,medium,no
105,Forcing|Aerosol|OC,W/m2,Forcing|Aerosol|OC,W/m2,,,Climate,radiative forcing from organic carbon via aerosol-radiative effects,yes,exogenous,medium,no
106,Forcing|Aerosol|Other,W/m2,Forcing|Aerosol|Other,W/m2,,,Climate,total radiative forcing from aerosols not covered in the other categories (including aerosols from biomass burning) via aerosol-radiative effects,yes,exogenous,medium,no
107,Forcing|Aerosol|Sulfate Direct,W/m2,Forcing|Aerosol|Sulfate Direct,W/m2,,,Climate,radiative forcing from direct sulfate effects (i.e. aerosol-radiative effects),yes,exogenous,medium,no
108,Forcing|Albedo Change and Mineral Dust,W/m2,Forcing|Albedo Change and Mineral Dust,W/m2,,,Climate,total radiative forcing from albedo change and mineral dust,yes,exogenous,medium,no
109,Forcing|CH4,W/m2,Forcing|CH4,W/m2,,,Climate,total radiative forcing from CH4,yes,exogenous,medium,no
110,Forcing|CO2,W/m2,Forcing|CO2,W/m2,,,Climate,total radiative forcing from CO2,yes,exogenous,medium,no
111,Forcing|F-Gases,W/m2,Forcing|F-Gases,W/m2,,,Climate,total radiative forcing from F-gases,yes,exogenous,medium,no
112,Forcing|Kyoto Gases,W/m2,Forcing|Kyoto Gases,W/m2,,,Climate,"radiative forcing of the six Kyoto gases (CO2, CH4, N2O, SF6, HFCs, PFCs)",yes,exogenous,medium,no
113,Forcing|Montreal Gases,W/m2,Forcing|Montreal Gases,W/m2,,,Climate,total radiative forcing from Montreal gases,yes,exogenous,medium,no
